date,time,timezone,MACB,source,sourcetype,type,user,host,short,desc,version,filename,inode,notes,format,extra
10/06/2019,16:33:19,UTC,.A..,LOG,UTMP session,Start Time,reboot,4.4.0-98-generic,User: reboot Status: BOOT_TIME,User: reboot Hostname: 4.4.0-98-generic Terminal: system boot PID: 0 Terminal identifier: 32382 Status: BOOT_TIME IP Address: 0.0.0.0 Exit status: 0,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/var/log/wtmp,3671024,-,utmp,sha256_hash: 78a11c67d395b6d040d37b0470c8f94ae6e59cc349831597ec13fc0a9187c16e; type: 2
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/etc/udev/hwdb.d,OS://home/tsurugi/Desktop/cases/hdfs/slave1/etc/udev/hwdb.d Type: directory,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/etc/udev/hwdb.d,2228773,-,filestat,file_size: 4096; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/lib/lsb/init-functions.d,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/lsb/init-functions.d Type: directory,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/lsb/init-functions.d,1835019,-,filestat,file_size: 4096; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/lib/lsb/init-functions,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/lsb/init-functions Type: file,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/lsb/init-functions,1835018,-,filestat,file_size: 11506; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libselinux.so.1,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libselinux.so.1 Type: file,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libselinux.so.1,1835614,-,filestat,file_size: 130224; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libpthread-2.23.so,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libpthread-2.23.so Type: file,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libpthread-2.23.so,1839734,-,filestat,file_size: 138696; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libdl-2.23.so,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libdl-2.23.so Type: file,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libdl-2.23.so,1839740,-,filestat,file_size: 14608; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/etc/default/keyboard,OS://home/tsurugi/Desktop/cases/hdfs/slave1/etc/default/keyboard Type: file,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/etc/default/keyboard,2228528,-,filestat,file_size: 150; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/etc/udev/udev.conf,OS://home/tsurugi/Desktop/cases/hdfs/slave1/etc/udev/udev.conf Type: file,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/etc/udev/udev.conf,2228775,-,filestat,file_size: 153; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/bin/dash,OS://home/tsurugi/Desktop/cases/hdfs/slave1/bin/dash Type: file,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/bin/dash,1703956,-,filestat,file_size: 154072; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/ld-2.23.so,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/ld-2.23.so Type: file,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/ld-2.23.so,1839729,-,filestat,file_size: 162632; file_system_type: OS; is_allocated: True
10/06/2019,16:33:20,UTC,.A..,FILE,OS Last Access Time,Last Access Time,-,slave1.champforensics.com,/home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libattr.so.1.1.0,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libattr.so.1.1.0 Type: file,2,OS://home/tsurugi/Desktop/cases/hdfs/slave1/lib/x86_64-linux-gnu/libattr.so.1.1.0,1835507,-,filestat,file_size: 18624; file_system_type: OS; is_allocated: True
