date,time,timezone,MACB,source,sourcetype,type,user,host,short,desc,version,filename,inode,notes,format,extra
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/dist-packages,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/dist-packages Type: directory,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/dist-packages,1309506,-,filestat,file_size: 4096; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/local/lib/python2.7/dist-packages,OS://home/tsurugi/cases/web/case1/usr/local/lib/python2.7/dist-packages Type: directory,2,OS://home/tsurugi/cases/web/case1/usr/local/lib/python2.7/dist-packages,1317350,-,filestat,file_size: 4096; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/sre_compile.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sre_compile.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sre_compile.pyc,1314435,-,filestat,file_size: 10948; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/bin/dash,OS://home/tsurugi/cases/web/case1/bin/dash Type: file,2,OS://home/tsurugi/cases/web/case1/bin/dash,392468,-,filestat,file_size: 112204; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/posixpath.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/posixpath.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/posixpath.pyc,1314429,-,filestat,file_size: 11567; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/traceback.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/traceback.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/traceback.pyc,1314400,-,filestat,file_size: 11639; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/warnings.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/warnings.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/warnings.pyc,1314574,-,filestat,file_size: 13104; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/re.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/re.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/re.pyc,1313457,-,filestat,file_size: 13108; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libselinux.so.1,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libselinux.so.1 Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libselinux.so.1,654085,-,filestat,file_size: 133072; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/ld-2.19.so,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/ld-2.19.so Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/ld-2.19.so,659312,-,filestat,file_size: 134380; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libdl-2.19.so,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libdl-2.19.so Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libdl-2.19.so,659306,-,filestat,file_size: 13856; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libmount.so.1.1.0,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libmount.so.1.1.0 Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libmount.so.1.1.0,654111,-,filestat,file_size: 157564; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libblkid.so.1.1.0,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libblkid.so.1.1.0 Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libblkid.so.1.1.0,654218,-,filestat,file_size: 162088; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libc-2.19.so,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libc-2.19.so Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libc-2.19.so,659309,-,filestat,file_size: 1754876; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libuuid.so.1.3.0,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libuuid.so.1.3.0 Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libuuid.so.1.3.0,654134,-,filestat,file_size: 18036; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/sysconfig.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sysconfig.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sysconfig.pyc,1314424,-,filestat,file_size: 18609; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/sre_parse.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sre_parse.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sre_parse.pyc,1314399,-,filestat,file_size: 19319; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/site.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/site.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/site.pyc,1314436,-,filestat,file_size: 19727; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/plat-i386-linux-gnu/_sysconfi...,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/plat-i386-linux-gnu/_sysconfigdata_nd.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/plat-i386-linux-gnu/_sysconfigdata_nd.pyc,1314433,-,filestat,file_size: 19932; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/sitecustomize.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sitecustomize.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sitecustomize.pyc,1314576,-,filestat,file_size: 232; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libpcre.so.3.13.1,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libpcre.so.3.13.1 Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libpcre.so.3.13.1,659292,-,filestat,file_size: 247196; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/_abcoll.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/_abcoll.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/_abcoll.pyc,1314450,-,filestat,file_size: 24796; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/types.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/types.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/types.pyc,1314423,-,filestat,file_size: 2494; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/os.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/os.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/os.pyc,1314413,-,filestat,file_size: 25451; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/stat.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/stat.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/stat.pyc,1314437,-,filestat,file_size: 2731; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/_sysconfigdata.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/_sysconfigdata.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/_sysconfigdata.pyc,1314409,-,filestat,file_size: 279; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/etc/ld.so.cache,OS://home/tsurugi/cases/web/case1/etc/ld.so.cache Type: file,2,OS://home/tsurugi/cases/web/case1/etc/ld.so.cache,1835259,-,filestat,file_size: 28491; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/dist-packages/zope.interface-...,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/dist-packages/zope.interface-4.0.5-nspkg.pth Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/dist-packages/zope.interface-4.0.5-nspkg.pth,1319354,-,filestat,file_size: 301; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libnss_compat-2.19.so,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libnss_compat-2.19.so Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libnss_compat-2.19.so,659298,-,filestat,file_size: 30560; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/locale/locale-archive,OS://home/tsurugi/cases/web/case1/usr/lib/locale/locale-archive Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/locale/locale-archive,1313447,-,filestat,file_size: 3164592; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/linecache.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/linecache.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/linecache.pyc,1314407,-,filestat,file_size: 3240; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/genericpath.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/genericpath.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/genericpath.pyc,1314414,-,filestat,file_size: 3243; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libnss_nis-2.19.so,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libnss_nis-2.19.so Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libnss_nis-2.19.so,659305,-,filestat,file_size: 42668; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libnss_files-2.19.so,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libnss_files-2.19.so Type: file,2,OS://home/tsurugi/cases/web/case1/lib/i386-linux-gnu/libnss_files-2.19.so,659311,-,filestat,file_size: 46812; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/etc/nsswitch.conf,OS://home/tsurugi/cases/web/case1/etc/nsswitch.conf Type: file,2,OS://home/tsurugi/cases/web/case1/etc/nsswitch.conf,1831810,-,filestat,file_size: 475; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/copy_reg.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/copy_reg.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/copy_reg.pyc,1314443,-,filestat,file_size: 5091; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/sbin/startpar-upstart-inject,OS://home/tsurugi/cases/web/case1/sbin/startpar-upstart-inject Type: file,2,OS://home/tsurugi/cases/web/case1/sbin/startpar-upstart-inject,1700735,-,filestat,file_size: 5584; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/abc.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/abc.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/abc.pyc,1314434,-,filestat,file_size: 6121; file_system_type: OS; is_allocated: True
10/05/2019,09:41:50,Europe/Brussels,.A..,FILE,OS Last Access Time,Last Access Time,-,VulnOSv2,/home/tsurugi/cases/web/case1/usr/lib/python2.7/sre_constants.pyc,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sre_constants.pyc Type: file,2,OS://home/tsurugi/cases/web/case1/usr/lib/python2.7/sre_constants.pyc,1314441,-,filestat,file_size: 6185; file_system_type: OS; is_allocated: True
